"","Date","pH_ScientificUnits","Salinity_PartsPerThousand","WaterTemp_Celcius","Turbidity_FNU","DissOxy_MilligramPerLitre"
"306",2017-05-09 07:00:00,8.15,29.5775102,23.99,2.96,6.21
"307",2017-05-09 08:00:00,8.15,29.58950746,24.02,2.7,6.23
"308",2017-05-09 09:00:00,8.14,29.60010684,24.1,2.73,6.18
"309",2017-05-09 10:00:00,8.17,29.61605357,24.23,2.75,6.75
"310",2017-05-09 11:00:00,8.19,29.62278784,24.43,3.19,7.2
"311",2017-05-09 12:00:00,8.21,29.64340134,24.71,3.25,7.66
"312",2017-05-09 13:00:00,8.22,29.82598151,25.83,3.55,7.54
"313",2017-05-09 14:00:00,8.24,29.86512437,26.26,3.31,7.7
"314",2017-05-09 15:00:00,8.24,29.83537787,26.25,3.15,7.93
"315",2017-05-09 16:00:00,8.25,29.8554015,26.27,3.56,8.15
"316",2017-05-09 17:00:00,8.25,29.88582,26.32,3.48,8.13
"317",2017-05-09 18:00:00,8.26,29.95406874,26.21,3.17,8.25
"318",2017-05-09 19:00:00,8.25,29.92946861,26.03,3.31,7.96
"319",2017-05-09 20:00:00,8.24,29.88578466,25.85,3.19,7.7
"320",2017-05-09 21:00:00,8.24,29.87018811,25.68,3.52,7.66
"321",2017-05-09 22:00:00,8.24,29.85755254,25.55,3.1,7.49
"322",2017-05-09 23:00:00,8.23,29.85023196,25.46,3.32,7.32
"323",2017-05-10 00:00:00,8.22,29.83856264,25.35,3.24,7.23
"324",2017-05-10 01:00:00,8.21,29.81409928,25.24,3.62,7.08
"325",2017-05-10 02:00:00,8.2,29.81704424,25.14,2.87,6.6
"326",2017-05-10 03:00:00,8.2,29.81165201,25.03,2.74,6.68
"327",2017-05-10 04:00:00,8.19,29.81405503,24.97,2.85,6.5
"328",2017-05-10 05:00:00,8.18,29.82611484,24.89,3.01,6.25
"329",2017-05-10 06:00:00,8.17,29.83564514,24.86,2.61,5.74
"330",2017-05-10 07:00:00,8.17,29.83986108,24.81,2.83,5.84
"331",2017-05-10 08:00:00,8.18,29.88531911,24.86,2.8,6.31
"332",2017-05-10 09:00:00,8.2,29.91458895,24.91,2.7,6.57
"333",2017-05-10 10:00:00,8.18,29.98968907,24.98,3.85,6.45
"334",2017-05-10 11:00:00,8.2,30.02438128,25.13,4.15,6.81
"335",2017-05-10 12:00:00,8.22,30.06395101,25.3,4.15,7.51
"336",2017-05-10 13:00:00,8.24,30.03966557,25.52,4.74,7.96
"337",2017-05-10 14:00:00,8.24,29.9613405,25.97,4.02,8.26
"338",2017-05-10 15:00:00,8.23,29.98095686,26.79,2.91,8
"339",2017-05-10 16:00:00,8.24,29.92850518,26.71,3.4,8.12
"340",2017-05-10 17:00:00,8.23,29.86869299,27.22,2.95,7.99
"341",2017-05-10 18:00:00,8.23,29.85592346,27.2,3.11,8.09
"342",2017-05-10 19:00:00,8.22,29.87468476,27.03,3.34,7.64
"343",2017-05-10 20:00:00,8.22,29.86816211,26.86,3.42,7.47
"344",2017-05-10 21:00:00,8.21,29.85801607,26.72,3.74,7.2
"345",2017-05-10 22:00:00,8.2,29.83968456,26.59,3.46,6.95
"346",2017-05-10 23:00:00,8.2,29.82592053,26.44,3.55,6.81
"347",2017-05-11 00:00:00,8.2,29.80683685,26.3,3.66,6.83
"348",2017-05-11 01:00:00,8.19,29.80239906,26.18,3.14,6.79
"349",2017-05-11 02:00:00,8.18,29.80964875,26.08,2.77,6.58
"350",2017-05-11 03:00:00,8.16,29.81031013,25.99,2.42,6.16
"351",2017-05-11 04:00:00,8.17,29.81935097,25.91,2.74,6.28
"352",2017-05-11 05:00:00,8.15,29.83453857,25.83,2.77,5.47
"353",2017-05-11 06:00:00,8.16,29.85476435,25.73,3.17,5.82
"354",2017-05-11 07:00:00,8.16,29.87813184,25.68,3.22,5.82
"355",2017-05-11 08:00:00,8.17,29.93578641,25.7,2.67,6.08
"356",2017-05-11 09:00:00,8.18,29.99409092,25.73,3.15,6.22
"357",2017-05-11 10:00:00,8.19,30.06416058,25.85,3.45,6.42
"358",2017-05-11 11:00:00,8.21,30.1264418,26.02,3.84,6.63
"359",2017-05-11 12:00:00,8.21,30.10349483,26.38,4.68,7.11
"360",2017-05-11 13:00:00,8.22,30.16364692,26.75,4.1,7.41
"361",2017-05-11 14:00:00,8.23,30.16739915,26.99,4.05,7.5
