Data Table for Daily Case Trends - North Carolina
Date generated: Sun Nov 07 2021 12:42:02 GMT-0500 (Eastern Standard Time)
State,Date,New Cases,7-Day Moving Avg
North Carolina,Oct 23 2020,2417,2174
North Carolina,Oct 22 2020,2701,2169
North Carolina,Oct 21 2020,2737,2119
North Carolina,Oct 20 2020,3118,2108
North Carolina,Oct 19 2020,928,2087
North Carolina,Oct 18 2020,1052,2093
North Carolina,Oct 17 2020,2271,2089
North Carolina,Oct 16 2020,2378,2051
North Carolina,Oct 15 2020,2355,2027
North Carolina,Oct 14 2020,2654,1997
North Carolina,Oct 13 2020,2972,1948
North Carolina,Oct 12 2020,971,1916
North Carolina,Oct 11 2020,1026,1903
North Carolina,Oct 10 2020,2006,1910
North Carolina,Oct  9 2020,2205,1909
North Carolina,Oct  8 2020,2151,1880
North Carolina,Oct  7 2020,2306,1859
North Carolina,Oct  6 2020,2752,1815
North Carolina,Oct  5 2020,875,1764
North Carolina,Oct  4 2020,1076,1737
North Carolina,Oct  3 2020,1999,1699
North Carolina,Oct  2 2020,2003,1607
North Carolina,Oct  1 2020,2005,1554
North Carolina,Sep 30 2020,1995,1491
North Carolina,Sep 29 2020,2399,1441
North Carolina,Sep 28 2020,682,1368
North Carolina,Sep 27 2020,815,1359
North Carolina,Sep 26 2020,1356,1343
North Carolina,Sep 25 2020,1631,1352
North Carolina,Sep 24 2020,1564,1317
North Carolina,Sep 23 2020,1641,1307
North Carolina,Sep 22 2020,1889,1303
North Carolina,Sep 21 2020,620,1299
North Carolina,Sep 20 2020,702,1303
North Carolina,Sep 19 2020,1418,1302
North Carolina,Sep 18 2020,1390,1291
North Carolina,Sep 17 2020,1493,1307
North Carolina,Sep 16 2020,1615,1326
North Carolina,Sep 15 2020,1861,1379
North Carolina,Sep 14 2020,643,1222
North Carolina,Sep 13 2020,695,1221
North Carolina,Sep 12 2020,1344,1219
North Carolina,Sep 11 2020,1498,1213
North Carolina,Sep 10 2020,1626,1230
North Carolina,Sep  9 2020,1992,1257
North Carolina,Sep  8 2020,757,1219
North Carolina,Sep  7 2020,636,1383
North Carolina,Sep  6 2020,680,1386
North Carolina,Sep  5 2020,1305,1413
North Carolina,Sep  4 2020,1615,1459
North Carolina,Sep  3 2020,1816,1479
North Carolina,Sep  2 2020,1724,1481
North Carolina,Sep  1 2020,1909,1535
North Carolina,Aug 31 2020,655,1594
North Carolina,Aug 30 2020,873,1614
North Carolina,Aug 29 2020,1624,1616
North Carolina,Aug 28 2020,1755,1649
North Carolina,Aug 27 2020,1833,1656
North Carolina,Aug 26 2020,2098,1652
North Carolina,Aug 25 2020,2321,1645
North Carolina,Aug 24 2020,796,1614
North Carolina,Aug 23 2020,891,1592
North Carolina,Aug 22 2020,1851,1577
North Carolina,Aug 21 2020,1804,1540
North Carolina,Aug 20 2020,1805,1505
North Carolina,Aug 19 2020,2049,1474
North Carolina,Aug 18 2020,2104,1406
North Carolina,Aug 17 2020,644,1362
North Carolina,Aug 16 2020,787,1356
North Carolina,Aug 15 2020,1590,1348
North Carolina,Aug 14 2020,1561,1325
North Carolina,Aug 13 2020,1584,1323
North Carolina,Aug 12 2020,1576,1349
North Carolina,Aug 11 2020,1798,1351
North Carolina,Aug 10 2020,598,1379
North Carolina,Aug  9 2020,732,1398
North Carolina,Aug  8 2020,1429,1406
North Carolina,Aug  7 2020,1545,1453
North Carolina,Aug  6 2020,1769,1496
North Carolina,Aug  5 2020,1590,1516
North Carolina,Aug  4 2020,1996,1584
North Carolina,Aug  3 2020,729,1611
North Carolina,Aug  2 2020,785,1610
North Carolina,Aug  1 2020,1757,1625
North Carolina,Jul 31 2020,1848,1660
North Carolina,Jul 30 2020,1909,1664
North Carolina,Jul 29 2020,2070,1687
North Carolina,Jul 28 2020,2181,1725
North Carolina,Jul 27 2020,722,1751
North Carolina,Jul 26 2020,893,1765
North Carolina,Jul 25 2020,2002,1775
North Carolina,Jul 24 2020,1875,1769
North Carolina,Jul 23 2020,2070,1804
North Carolina,Jul 22 2020,2333,1832
North Carolina,Jul 21 2020,2367,1856
North Carolina,Jul 20 2020,818,1874
North Carolina,Jul 19 2020,964,1880
North Carolina,Jul 18 2020,1958,1885
North Carolina,Jul 17 2020,2120,1912
North Carolina,Jul 16 2020,2266,1920
North Carolina,Jul 15 2020,2499,1962
North Carolina,Jul 14 2020,2496,2007
North Carolina,Jul 13 2020,863,2013
North Carolina,Jul 12 2020,994,1999
North Carolina,Jul 11 2020,2150,1941
North Carolina,Jul 10 2020,2178,1828
North Carolina,Jul  9 2020,2557,1807
North Carolina,Jul  8 2020,2812,1737
North Carolina,Jul  7 2020,2543,1665
North Carolina,Jul  6 2020,763,1662
North Carolina,Jul  5 2020,589,1701
North Carolina,Jul  4 2020,1354,1750
North Carolina,Jul  3 2020,2033,1838
North Carolina,Jul  2 2020,2070,1827
North Carolina,Jul  1 2020,2306,1803
North Carolina,Jun 30 2020,2522,1772
North Carolina,Jun 29 2020,1038,1702
North Carolina,Jun 28 2020,933,1653
North Carolina,Jun 27 2020,1970,1628
North Carolina,Jun 26 2020,1955,1578
North Carolina,Jun 25 2020,1903,1551
North Carolina,Jun 24 2020,2088,1523
North Carolina,Jun 23 2020,2029,1451
North Carolina,Jun 22 2020,698,1403
North Carolina,Jun 21 2020,758,1381
North Carolina,Jun 20 2020,1616,1371
North Carolina,Jun 19 2020,1768,1345
North Carolina,Jun 18 2020,1709,1297
North Carolina,Jun 17 2020,1583,1259
North Carolina,Jun 16 2020,1690,1254
North Carolina,Jun 15 2020,545,1249
North Carolina,Jun 14 2020,686,1233
North Carolina,Jun 13 2020,1435,1204
North Carolina,Jun 12 2020,1431,1187
North Carolina,Jun 11 2020,1447,1175
North Carolina,Jun 10 2020,1546,1174
North Carolina,Jun  9 2020,1654,1134
North Carolina,Jun  8 2020,435,1112
North Carolina,Jun  7 2020,482,1098
North Carolina,Jun  6 2020,1320,1092
North Carolina,Jun  5 2020,1346,1062
North Carolina,Jun  4 2020,1437,1015
North Carolina,Jun  3 2020,1265,952
North Carolina,Jun  2 2020,1504,966
North Carolina,Jun  1 2020,332,804
North Carolina,May 31 2020,443,793
North Carolina,May 30 2020,1112,779
North Carolina,May 29 2020,1015,726
North Carolina,May 28 2020,994,704
North Carolina,May 27 2020,1365,682
North Carolina,May 26 2020,369,625
North Carolina,May 25 2020,258,724
North Carolina,May 24 2020,340,714
North Carolina,May 23 2020,746,706
North Carolina,May 22 2020,861,700
North Carolina,May 21 2020,836,686
North Carolina,May 20 2020,965,668
North Carolina,May 19 2020,1062,627
North Carolina,May 18 2020,193,585
North Carolina,May 17 2020,285,574
North Carolina,May 16 2020,704,561
North Carolina,May 15 2020,758,538
North Carolina,May 14 2020,711,518
North Carolina,May 13 2020,679,518
North Carolina,May 12 2020,765,500
